istanza,min,mean,median,std,feasible_runs,total_runs
instance_test_1,4576,4577.6,4576.0,3.2,5,5
instance_test_2,5191,5195.2,5198.0,3.4,5,5
instance_test_3,3913,3934.4,3931.0,18.2,5,5
instance_test_4,4829,4906.8,4917.0,44.9,5,5
instance_test_5,17583,17626.6,17621.0,30.7,5,5
instance_test_6,3780,4087.4,4164.0,154.0,5,5
instance_test_7,14445,14527.2,14531.0,56.9,5,5
instance_test_8,6822,6856.4,6855.0,19.6,5,5
instance_test_9,4775,4889.6,4865.0,86.2,5,5
instance_test_10,-,-,-,-,0,5
instance_test_11,819,877.8,865.0,50.2,5,5
instance_test_12,16429,16455.6,16451.0,18.1,5,5
instance_test_13,18461,18494.4,18503.0,19.6,5,5
instance_test_14,3769,3810.8,3822.0,30.6,5,5
instance_test_15,7814,7830.6,7819.0,18.2,5,5
instance_test_16,5639,5669.6,5663.0,22.5,5,5
instance_test_17,2219,2253.2,2249.0,28.3,5,5
instance_test_18,3956,4013.8,3978.0,55.4,5,5
instance_test_19,15022,15210.6,15256.0,94.4,5,5
instance_test_20,5122,5224.8,5219.0,84.2,5,5
instance_test_21,5099,5131.8,5110.0,45.4,5,5
instance_test_22,2990,3033.0,3031.0,36.2,5,5
instance_test_23,1124,1161.0,1144.0,38.0,5,5
instance_test_24,1121,1155.6,1163.0,22.6,5,5
instance_test_25,5379,5475.6,5474.0,70.0,5,5
instance_test_26,2662,2676.0,2672.0,15.0,5,5
instance_test_27,5439,5444.4,5448.0,4.4,5,5
instance_test_28,908,925.6,921.0,13.9,5,5
instance_test_29,1566,1598.2,1577.0,31.9,5,5
instance_test_30,3645,3704.4,3708.0,37.9,5,5
instance_test_31,5633,5685.8,5692.0,30.7,5,5
instance_test_32,1524,1572.8,1567.0,32.6,5,5
instance_test_33,554,578.2,573.0,17.3,5,5
instance_test_34,5259,5272.4,5276.0,7.3,5,5
instance_test_35,8355,8405.6,8423.0,33.8,5,5
instance_test_36,1937,1963.8,1955.0,29.1,5,5
instance_test_37,3219,3316.4,3359.0,72.4,5,5
instance_test_38,4602,4632.8,4639.0,25.7,5,5
instance_test_39,5265,5311.4,5329.0,32.9,5,5
instance_test_40,1537,1584.0,1573.0,37.9,5,5
instance_test_41,2864,2935.6,2926.0,48.1,5,5
instance_test_42,2997,3032.4,3021.0,31.3,5,5
instance_test_43,3896,3928.2,3932.0,29.5,5,5
instance_test_44,1734,1789.4,1781.0,39.3,5,5
instance_test_45,1936,1998.4,1967.0,67.0,5,5
instance_test_46,6996,7034.2,7041.0,23.0,5,5
instance_test_47,3251,3352.2,3371.0,56.0,5,5
instance_test_48,2761,2818.2,2790.0,62.4,5,5
instance_test_49,3054,3058.0,3059.0,2.0,5,5
instance_test_50,10398,10632.4,10422.0,435.9,5,5
instance_test_51,8701,8790.8,8811.0,66.7,5,5
instance_test_52,2491,2572.2,2595.0,62.1,5,5
instance_test_53,1988,2032.6,2029.0,28.7,5,5
instance_test_54,12801,12889.0,12902.0,47.0,5,5
instance_test_55,6236,6259.0,6250.0,22.2,5,5
instance_test_56,1113,1161.2,1154.0,49.3,5,5
instance_test_57,6937,6987.8,6975.0,37.4,5,5
instance_test_58,6612,6695.6,6640.0,90.8,5,5
instance_test_59,3929,3993.8,3969.0,49.8,5,5
instance_test_60,2258,3039.8,3136.0,639.6,5,5
instance_test_61,6058,6106.4,6115.0,24.6,5,5
instance_test_62,2646,2678.6,2670.0,23.8,5,5
instance_test_63,2345,2353.6,2353.0,5.5,5,5
instance_test_64,2507,2561.0,2545.0,48.1,5,5
instance_test_65,6092,6142.5,6142.5,50.5,2,5
