istanza,min,mean,median,std,feasible_runs,total_runs
instance_test_66,929,939.4,941.0,7.3,5,5
instance_test_67,13440,13467.4,13468.0,15.1,5,5
instance_test_68,1053,1063.0,1064.0,6.4,5,5
instance_test_69,8140,8140.0,8140.0,0.0,1,5
instance_test_70,20775,20789.0,20787.0,13.2,5,5
instance_test_71,15096,15123.4,15131.0,20.9,5,5
instance_test_72,6491,6532.8,6521.0,38.2,5,5
instance_test_73,3027,3084.2,3077.0,49.2,5,5
instance_test_74,4831,4858.8,4858.0,25.9,5,5
instance_test_75,1017,1031.4,1018.0,19.3,5,5
instance_test_76,4421,4559.0,4532.0,100.5,5,5
instance_test_77,2201,2243.8,2231.0,30.8,5,5
instance_test_78,6124,6132.0,6134.0,7.5,5,5
instance_test_79,4455,4506.0,4506.0,40.2,5,5
instance_test_80,1571,1580.8,1580.0,7.4,5,5
instance_test_81,3567,3605.6,3599.0,31.5,5,5
instance_test_82,13961,14673.2,14853.0,357.3,5,5
instance_test_83,594,642.2,647.0,29.6,5,5
instance_test_84,3046,3066.4,3072.0,14.5,5,5
instance_test_85,6338,6416.4,6435.0,41.5,5,5
instance_test_86,3077,3245.4,3256.0,97.9,5,5
instance_test_87,12358,12390.0,12377.0,27.7,5,5
instance_test_88,15508,15544.0,15527.0,35.9,5,5
instance_test_89,1668,1699.4,1695.0,22.5,5,5
instance_test_90,1651,3053.6,3370.0,702.2,5,5
instance_test_91,4971,5749.4,6206.0,607.4,5,5
instance_test_92,8298,8323.2,8326.0,20.8,5,5
instance_test_93,10017,10061.8,10066.0,24.1,5,5
instance_test_94,1562,1585.2,1568.0,24.4,5,5
instance_test_95,9187,9224.2,9223.0,24.4,5,5
instance_test_96,5289,5389.0,5373.0,121.1,5,5
instance_test_97,2828,2887.8,2880.0,43.2,5,5
instance_test_98,4098,4125.6,4114.0,25.4,5,5
instance_test_99,18846,18982.6,18916.0,122.6,5,5
instance_test_100,2720,2730.8,2731.0,6.8,5,5
