istanza,min,mean,median,std,feasible_runs,total_runs
instance_test_1,79,81.6,82.0,1.9,5,5
instance_test_2,269,274.8,275.0,4.0,5,5
instance_test_3,1736,1749.0,1753.0,11.4,5,5
instance_test_4,205,217.6,213.0,15.6,5,5
instance_test_5,152,153.0,153.0,0.9,5,5
instance_test_6,1279,1291.6,1292.0,8.0,5,5
instance_test_7,534,3325.8,4016.0,1396.2,5,5
instance_test_8,890,890.0,890.0,0.0,5,5
instance_test_9,1089,1106.4,1108.0,12.0,5,5
instance_test_10,970,983.6,984.0,11.8,5,5
instance_test_11,58,61.8,61.0,3.9,5,5
instance_test_12,170,170.0,170.0,0.0,5,5
instance_test_13,1350,1356.6,1357.0,5.6,5,5
instance_test_14,457,457.0,457.0,0.0,5,5
instance_test_15,281,281.0,281.0,0.0,5,5
instance_test_16,1990,2013.2,2012.0,15.5,5,5
instance_test_17,726,731.0,731.0,3.3,5,5
instance_test_18,1866,1871.6,1869.0,4.5,5,5
instance_test_19,513,522.8,525.0,5.5,5,5
instance_test_20,203,883.4,203.0,1360.8,5,5
instance_test_21,1501,1518.4,1520.0,13.1,5,5
instance_test_22,146,149.6,152.0,2.9,5,5
instance_test_23,1271,1272.0,1272.0,0.6,5,5
instance_test_24,469,1335.8,522.0,1026.6,5,5
instance_test_25,2123,2126.4,2127.0,2.6,5,5
instance_test_26,547,563.4,556.0,15.9,5,5
instance_test_27,477,489.8,489.0,10.1,5,5
instance_test_28,645,685.0,645.0,80.0,5,5
instance_test_29,730,1030.6,747.0,359.2,5,5
instance_test_30,487,487.0,487.0,0.0,5,5
instance_test_31,124,124.0,124.0,0.0,5,5
instance_test_32,384,385.8,384.0,3.6,5,5
instance_test_33,2798,2811.2,2811.0,9.4,5,5
instance_test_34,4188,4194.8,4194.0,5.3,5,5
instance_test_35,3005,3023.8,3029.0,11.4,5,5
instance_test_36,197,197.0,197.0,0.0,5,5
instance_test_37,1289,1304.4,1302.0,14.3,5,5
instance_test_38,824,838.4,841.0,8.1,5,5
instance_test_39,820,820.0,820.0,0.0,5,5
instance_test_40,368,2067.8,2492.0,849.9,5,5
instance_test_41,1322,1330.4,1325.0,10.5,5,5
instance_test_42,1387,1421.8,1430.0,17.5,5,5
instance_test_43,2689,2709.0,2701.0,20.1,5,5
instance_test_44,1428,1441.4,1446.0,7.9,5,5
instance_test_45,3756,3783.6,3796.0,18.9,5,5
instance_test_46,1174,1175.4,1174.0,2.8,5,5
instance_test_47,933,937.6,937.0,3.2,5,5
instance_test_48,336,336.0,336.0,0.0,5,5
instance_test_49,1805,1817.2,1809.0,14.7,5,5
instance_test_50,201,208.2,210.0,3.6,5,5
instance_test_51,1119,1119.0,1119.0,0.0,5,5
instance_test_52,816,827.2,818.0,16.4,5,5
instance_test_53,1170,1174.4,1175.0,3.8,5,5
instance_test_54,345,1472.6,2201.0,906.1,5,5
instance_test_55,193,206.4,209.0,10.1,5,5
instance_test_56,1472,1472.0,1472.0,0.0,5,5
instance_test_57,142,150.0,150.0,4.9,5,5
instance_test_58,3355,3378.0,3376.0,18.1,5,5
instance_test_59,111,403.2,591.0,237.4,5,5
instance_test_60,1103,1103.0,1103.0,0.0,5,5
instance_test_61,272,279.8,278.0,8.8,5,5
instance_test_62,224,758.8,247.0,643.2,5,5
instance_test_63,467,476.4,478.0,6.3,5,5
instance_test_64,257,260.0,262.0,2.4,5,5
instance_test_65,1202,1229.6,1240.0,17.2,5,5
instance_test_66,145,152.0,153.0,5.7,5,5
instance_test_67,493,497.8,498.0,3.2,5,5
instance_test_68,284,284.0,284.0,0.0,5,5
instance_test_69,319,319.0,319.0,0.0,5,5
instance_test_70,259,261.2,261.0,1.7,5,5
instance_test_71,3075,3081.2,3077.0,6.7,5,5
instance_test_72,301,341.0,345.0,30.3,5,5
instance_test_73,2821,2834.0,2835.0,8.0,5,5
instance_test_74,2681,2691.2,2692.0,6.0,5,5
instance_test_75,242,970.6,252.0,885.0,5,5
instance_test_76,1510,1528.0,1530.0,9.4,5,5
instance_test_77,3923,3967.6,3971.0,24.3,5,5
instance_test_78,344,350.6,346.0,8.4,5,5
instance_test_79,306,309.0,311.0,2.4,5,5
instance_test_80,1419,1442.0,1447.0,11.7,5,5
instance_test_81,208,213.0,213.0,3.8,5,5
instance_test_82,2573,2585.4,2586.0,7.6,5,5
instance_test_83,525,533.8,536.0,4.4,5,5
instance_test_84,509,519.0,521.0,7.6,5,5
instance_test_85,789,803.4,804.0,7.7,5,5
instance_test_86,90,90.0,90.0,0.0,5,5
instance_test_87,4959,4995.4,4982.0,28.1,5,5
instance_test_88,339,354.4,339.0,30.8,5,5
instance_test_89,178,181.0,183.0,2.4,5,5
instance_test_90,2808,2828.4,2833.0,12.8,5,5
instance_test_91,2243,2262.6,2266.0,14.7,5,5
instance_test_92,894,894.0,894.0,0.0,5,5
instance_test_93,440,443.0,442.0,3.2,5,5
instance_test_94,3965,3988.4,3992.0,21.0,5,5
instance_test_95,2776,2786.8,2779.0,11.7,5,5
instance_test_96,4351,4353.6,4353.0,2.3,5,5
instance_test_97,86,86.0,86.0,0.0,5,5
instance_test_98,71,71.0,71.0,0.0,5,5
instance_test_99,143,145.6,145.0,2.4,5,5
instance_test_100,1077,1164.2,1185.0,43.6,5,5

