Trial Instance Cost Seed Time Start_Temp Min_Temp Cooling_Rate Status
0 instance_test_3.json 1998807468 24760952 2.41513 10.0 0.1 0.995 OK

0 instance_test_4.json 1276289063 26506116 2.31992 5.0 0.02 0.98 OK
0 instance_test_4.json 1298294114 58724826 1.95085 5.0 0.02 0.99 OK
0 instance_test_4.json 1300690607 64934133 1.55095 5.0 0.02 0.995 OK
0 instance_test_4.json 1329449403 37315799 1.51531 5.0 0.05 0.98 OK
0 instance_test_4.json 1401999877 19335196 0.606509 5.0 0.05 0.99 OK
0 instance_test_4.json 1358425865 77629874 1.47454 5.0 0.05 0.995 OK
0 instance_test_4.json 1296769049 98025190 1.51093 5.0 0.1 0.98 OK
0 instance_test_4.json 1373894324 79869686 1.4735 5.0 0.1 0.99 OK
0 instance_test_4.json 1413329091 19582078 1.49145 5.0 0.1 0.995 OK
0 instance_test_4.json 1315287773 72931187 1.57079 7.5 0.02 0.98 OK
0 instance_test_4.json 1373676796 25521869 1.49294 7.5 0.02 0.99 OK
0 instance_test_4.json 1319645306 93338787 2.34228 7.5 0.02 0.995 OK
0 instance_test_4.json 1309187568 58373359 1.70638 7.5 0.05 0.98 OK
0 instance_test_4.json 1336421106 29657711 1.62761 7.5 0.05 0.99 OK
0 instance_test_4.json 1379123193 33192040 1.59 7.5 0.05 0.995 OK
0 instance_test_4.json 1381302310 97322572 1.67075 7.5 0.1 0.98 OK
0 instance_test_4.json 1352761107 88142595 1.95481 7.5 0.1 0.99 OK
0 instance_test_4.json 1366487037 95568850 1.81747 7.5 0.1 0.995 OK
0 instance_test_4.json 1315723509 96961278 1.64223 10.0 0.02 0.98 OK
0 instance_test_4.json 1403742738 80448063 1.73663 10.0 0.02 0.99 OK
0 instance_test_4.json 1304176691 69659744 2.45471 10.0 0.02 0.995 OK
0 instance_test_4.json 1366051311 89516137 2.292 10.0 0.05 0.98 OK
0 instance_test_4.json 1286093300 51517837 1.25693 10.0 0.05 0.99 OK
0 instance_test_4.json 1346443325 98424845 2.02742 10.0 0.05 0.995 OK
0 instance_test_4.json 1311148326 43297730 1.63988 10.0 0.1 0.98 OK
0 instance_test_4.json 1366051076 90912279 1.83885 10.0 0.1 0.99 OK
0 instance_test_4.json 1301562006 30213596 1.58173 10.0 0.1 0.995 OK

Trial Instance Cost Seed Time Start_Temp Min_Temp Cooling_Rate Status
0 instance_test_1.json 15416641036 83509945 3.0144 1000.0 1.0 0.98 OK
0 instance_test_1.json 15405292545 56916368 2.634 1000.0 1.0 0.99 OK
0 instance_test_1.json 15289750299 48503744 2.33808 1000.0 1.0 0.995 OK
0 instance_test_1.json 15352679873 95996750 2.1414 1000.0 5.0 0.98 OK
0 instance_test_1.json 15788028566 4157413 2.23023 1000.0 5.0 0.99 OK
0 instance_test_1.json 15936583376 46437849 2.27801 1000.0 5.0 0.995 OK
0 instance_test_1.json 16036651879 30414326 2.18467 1000.0 10.0 0.98 OK
0 instance_test_1.json 16293528035 12874363 1.3033 1000.0 10.0 0.99 OK
0 instance_test_1.json 15814850825 76458036 2.20872 1000.0 10.0 0.995 OK
0 instance_test_1.json 15880875195 65191939 2.22399 5000.0 1.0 0.98 OK
0 instance_test_1.json 16097518183 86481577 2.20376 5000.0 1.0 0.99 OK
0 instance_test_1.json 16273927221 74119774 2.21431 5000.0 1.0 0.995 OK
0 instance_test_1.json 16628808572 23802969 2.13482 5000.0 5.0 0.98 OK
0 instance_test_1.json 16097518148 74401147 2.14344 5000.0 5.0 0.99 OK
0 instance_test_1.json 16449304701 71060584 2.12717 5000.0 5.0 0.995 OK
0 instance_test_1.json 16506044467 53382018 2.14962 5000.0 10.0 0.98 OK
0 instance_test_1.json 16270832398 89920542 2.45598 5000.0 10.0 0.99 OK
0 instance_test_1.json 16138783045 37190967 2.14766 5000.0 10.0 0.995 OK
0 instance_test_1.json 16449304677 95839713 2.20103 10000.0 1.0 0.98 OK
0 instance_test_1.json 15796281626 85310144 2.20873 10000.0 1.0 0.99 OK
0 instance_test_1.json 16391533273 92937869 2.66301 10000.0 1.0 0.995 OK
0 instance_test_1.json 16448273045 12434318 1.77813 10000.0 5.0 0.98 OK
0 instance_test_1.json 16507076099 87668406 2.58474 10000.0 5.0 0.99 OK
0 instance_test_1.json 16730940225 84350960 2.72594 10000.0 5.0 0.995 OK
0 instance_test_1.json 16677295331 66807027 3.10145 10000.0 10.0 0.98 OK
0 instance_test_1.json 16672137232 99709936 2.46715 10000.0 10.0 0.99 OK
0 instance_test_1.json 16620555664 96409913 2.50755 10000.0 10.0 0.995 OK

0 instance_test_2.json 2841197226 35535129 1.57035 1000.0 1.0 0.98 OK
0 instance_test_2.json 2797305083 4613770 1.58558 1000.0 1.0 0.99 OK
0 instance_test_2.json 1251271430 25888860 1.65706 1000.0 1.0 0.995 OK
0 instance_test_2.json 2999926665 97528144 1.96981 1000.0 5.0 0.98 OK
0 instance_test_2.json 3002586905 78181685 1.75696 1000.0 5.0 0.99 OK
0 instance_test_2.json 3901745163 49108360 2.46399 1000.0 5.0 0.995 OK
0 instance_test_2.json 3488078310 18522835 1.78906 1000.0 10.0 0.98 OK
0 instance_test_2.json 2241319571 81062879 2.06679 1000.0 10.0 0.99 OK
0 instance_test_2.json 3420687468 31013479 2.14429 1000.0 10.0 0.995 OK
0 instance_test_2.json 1135552214 39142489 1.25697 5000.0 1.0 0.98 OK
0 instance_test_2.json 2684246495 8641065 1.91109 5000.0 1.0 0.99 OK
0 instance_test_2.json 4041406328 95932412 1.79986 5000.0 1.0 0.995 OK
0 instance_test_2.json 2770705301 67141403 1.97293 5000.0 5.0 0.98 OK
0 instance_test_2.json 2880660504 85319210 1.72309 5000.0 5.0 0.99 OK
0 instance_test_2.json 2345070011 46698774 1.63885 5000.0 5.0 0.995 OK
0 instance_test_2.json 1540794984 9208702 1.82294 5000.0 10.0 0.98 OK
0 instance_test_2.json 2915244006 40441534 1.99991 5000.0 10.0 0.99 OK
0 instance_test_2.json 4573014349 8135960 1.74709 5000.0 10.0 0.995 OK
0 instance_test_2.json 4201909259 4511495 1.75729 10000.0 1.0 0.98 OK
0 instance_test_2.json 2923667994 63206463 1.74091 10000.0 1.0 0.99 OK
0 instance_test_2.json 1159494845 40166934 1.89176 10000.0 1.0 0.995 OK
0 instance_test_2.json 3352409753 7731392 1.47255 10000.0 5.0 0.98 OK
0 instance_test_2.json 1217577412 7717491 1.61588 10000.0 5.0 0.99 OK
0 instance_test_2.json 1956678432 10464836 1.56995 10000.0 5.0 0.995 OK
0 instance_test_2.json 3225162754 54928679 1.72368 10000.0 10.0 0.98 OK
0 instance_test_2.json 1908350297 4846341 2.24849 10000.0 10.0 0.99 OK
0 instance_test_2.json 1572274825 56810123 1.40355 10000.0 10.0 0.995 OK

0 instance_test_3.json 3985075253 57510593 3.51951 1000.0 1.0 0.98 OK
0 instance_test_3.json 4012734777 7131188 4.80895 1000.0 1.0 0.99 OK
0 instance_test_3.json 3847299691 18040079 3.80307 1000.0 1.0 0.995 OK
0 instance_test_3.json 4039872437 30814570 2.95739 1000.0 5.0 0.98 OK
0 instance_test_3.json 3902096645 74944925 2.85213 1000.0 5.0 0.99 OK
0 instance_test_3.json 3930278096 48831138 2.26699 1000.0 5.0 0.995 OK
0 instance_test_3.json 4011169165 23939752 2.33909 1000.0 10.0 0.98 OK
0 instance_test_3.json 4011169157 42959657 2.82385 1000.0 10.0 0.99 OK
0 instance_test_3.json 3958459450 57865951 2.15777 1000.0 10.0 0.995 OK
0 instance_test_3.json 3874958988 56388506 2.85386 5000.0 1.0 0.98 OK
0 instance_test_3.json 3866608768 57056141 1.39106 5000.0 1.0 0.99 OK
0 instance_test_3.json 4067010107 19600055 2.43095 5000.0 1.0 0.995 OK
0 instance_test_3.json 4146857446 57451893 2.47471 5000.0 5.0 0.98 OK
0 instance_test_3.json 4196957730 25220079 2.32535 5000.0 5.0 0.99 OK
0 instance_test_3.json 3874958985 72349550 2.283 5000.0 5.0 0.995 OK
0 instance_test_3.json 3957415750 34905414 2.20048 5000.0 10.0 0.98 OK
0 instance_test_3.json 4039350583 41094139 2.31946 5000.0 10.0 0.99 OK
0 instance_test_3.json 4129113524 49260410 2.30806 5000.0 10.0 0.995 OK
0 instance_test_3.json 4146857448 7281895 2.05051 10000.0 1.0 0.98 OK
0 instance_test_3.json 3874958975 69575210 1.97377 10000.0 1.0 0.99 OK
0 instance_test_3.json 3881743353 76468461 2.22056 10000.0 1.0 0.995 OK
0 instance_test_3.json 4147379425 48095243 2.53011 10000.0 5.0 0.98 OK
0 instance_test_3.json 4094147730 57184631 2.09473 10000.0 5.0 0.99 OK
Trial Instance Cost Seed Time Start_Temp Min_Temp Cooling_Rate Status
0 instance_test_1.json ERROR 14189244 ERROR 5.0 0.02 0.98 EXEC_ERROR
0 instance_test_1.json ERROR 94066213 ERROR 5.0 0.02 0.99 EXEC_ERROR
0 instance_test_1.json ERROR 42541447 ERROR 5.0 0.02 0.995 EXEC_ERROR
0 instance_test_1.json ERROR 23899352 ERROR 5.0 0.05 0.98 EXEC_ERROR
0 instance_test_1.json ERROR 26891082 ERROR 5.0 0.05 0.99 EXEC_ERROR
0 instance_test_1.json ERROR 13079790 ERROR 5.0 0.05 0.995 EXEC_ERROR
0 instance_test_1.json ERROR 78701097 ERROR 5.0 0.1 0.98 EXEC_ERROR
0 instance_test_1.json ERROR 8015907 ERROR 5.0 0.1 0.99 EXEC_ERROR
0 instance_test_1.json ERROR 88799166 ERROR 5.0 0.1 0.995 EXEC_ERROR
0 instance_test_1.json ERROR 81380987 ERROR 7.5 0.02 0.98 EXEC_ERROR
0 instance_test_1.json ERROR 88571157 ERROR 7.5 0.02 0.99 EXEC_ERROR
0 instance_test_1.json ERROR 24343311 ERROR 7.5 0.02 0.995 EXEC_ERROR
0 instance_test_1.json ERROR 66836846 ERROR 7.5 0.05 0.98 EXEC_ERROR
0 instance_test_1.json ERROR 54697161 ERROR 7.5 0.05 0.99 EXEC_ERROR
0 instance_test_1.json ERROR 75386220 ERROR 7.5 0.05 0.995 EXEC_ERROR
0 instance_test_1.json ERROR 59603478 ERROR 7.5 0.1 0.98 EXEC_ERROR
0 instance_test_1.json ERROR 4320691 ERROR 7.5 0.1 0.99 EXEC_ERROR
0 instance_test_1.json ERROR 24751333 ERROR 7.5 0.1 0.995 EXEC_ERROR
0 instance_test_1.json ERROR 45499896 ERROR 10.0 0.02 0.98 EXEC_ERROR
0 instance_test_1.json ERROR 38495010 ERROR 10.0 0.02 0.99 EXEC_ERROR
0 instance_test_1.json ERROR 22697580 ERROR 10.0 0.02 0.995 EXEC_ERROR
0 instance_test_1.json ERROR 95034817 ERROR 10.0 0.05 0.98 EXEC_ERROR
0 instance_test_1.json ERROR 64600095 ERROR 10.0 0.05 0.99 EXEC_ERROR
0 instance_test_1.json ERROR 67962360 ERROR 10.0 0.05 0.995 EXEC_ERROR
0 instance_test_1.json ERROR 50657307 ERROR 10.0 0.1 0.98 EXEC_ERROR
0 instance_test_1.json ERROR 21738089 ERROR 10.0 0.1 0.99 EXEC_ERROR
0 instance_test_1.json ERROR 49780712 ERROR 10.0 0.1 0.995 EXEC_ERROR

0 instance_test_2.json ERROR 97488224 ERROR 5.0 0.02 0.98 EXEC_ERROR
0 instance_test_2.json ERROR 80336938 ERROR 5.0 0.02 0.99 EXEC_ERROR
0 instance_test_2.json ERROR 99816508 ERROR 5.0 0.02 0.995 EXEC_ERROR
0 instance_test_2.json ERROR 55545254 ERROR 5.0 0.05 0.98 EXEC_ERROR
0 instance_test_2.json ERROR 23733846 ERROR 5.0 0.05 0.99 EXEC_ERROR
0 instance_test_2.json ERROR 50229031 ERROR 5.0 0.05 0.995 EXEC_ERROR
0 instance_test_2.json ERROR 17836084 ERROR 5.0 0.1 0.98 EXEC_ERROR
0 instance_test_2.json ERROR 56955942 ERROR 5.0 0.1 0.99 EXEC_ERROR
0 instance_test_2.json ERROR 31517775 ERROR 5.0 0.1 0.995 EXEC_ERROR
0 instance_test_2.json ERROR 1786841 ERROR 7.5 0.02 0.98 EXEC_ERROR
0 instance_test_2.json ERROR 54502184 ERROR 7.5 0.02 0.99 EXEC_ERROR
0 instance_test_2.json ERROR 42341593 ERROR 7.5 0.02 0.995 EXEC_ERROR
0 instance_test_2.json ERROR 74975300 ERROR 7.5 0.05 0.98 EXEC_ERROR
0 instance_test_2.json ERROR 97340584 ERROR 7.5 0.05 0.99 EXEC_ERROR
0 instance_test_2.json ERROR 21403164 ERROR 7.5 0.05 0.995 EXEC_ERROR
0 instance_test_2.json ERROR 35253576 ERROR 7.5 0.1 0.98 EXEC_ERROR
0 instance_test_2.json ERROR 99537961 ERROR 7.5 0.1 0.99 EXEC_ERROR
0 instance_test_2.json ERROR 33108894 ERROR 7.5 0.1 0.995 EXEC_ERROR
0 instance_test_2.json ERROR 19008913 ERROR 10.0 0.02 0.98 EXEC_ERROR
0 instance_test_2.json ERROR 64031176 ERROR 10.0 0.02 0.99 EXEC_ERROR
0 instance_test_2.json ERROR 3063896 ERROR 10.0 0.02 0.995 EXEC_ERROR
0 instance_test_2.json ERROR 93116780 ERROR 10.0 0.05 0.98 EXEC_ERROR
0 instance_test_2.json ERROR 10046001 ERROR 10.0 0.05 0.99 EXEC_ERROR
0 instance_test_2.json ERROR 76340531 ERROR 10.0 0.05 0.995 EXEC_ERROR
0 instance_test_2.json ERROR 71824628 ERROR 10.0 0.1 0.98 EXEC_ERROR
0 instance_test_2.json ERROR 93175331 ERROR 10.0 0.1 0.99 EXEC_ERROR
0 instance_test_2.json ERROR 77566948 ERROR 10.0 0.1 0.995 EXEC_ERROR

0 instance_test_3.json ERROR 47610013 ERROR 5.0 0.02 0.98 EXEC_ERROR
0 instance_test_3.json ERROR 75315153 ERROR 5.0 0.02 0.99 EXEC_ERROR
0 instance_test_3.json ERROR 74640558 ERROR 5.0 0.02 0.995 EXEC_ERROR
0 instance_test_3.json ERROR 35168150 ERROR 5.0 0.05 0.98 EXEC_ERROR
0 instance_test_3.json ERROR 66920945 ERROR 5.0 0.05 0.99 EXEC_ERROR
0 instance_test_3.json ERROR 551608 ERROR 5.0 0.05 0.995 EXEC_ERROR
0 instance_test_3.json ERROR 18126214 ERROR 5.0 0.1 0.98 EXEC_ERROR
0 instance_test_3.json ERROR 83095538 ERROR 5.0 0.1 0.99 EXEC_ERROR
0 instance_test_3.json ERROR 73398489 ERROR 5.0 0.1 0.995 EXEC_ERROR
0 instance_test_3.json ERROR 68519904 ERROR 7.5 0.02 0.98 EXEC_ERROR
0 instance_test_3.json ERROR 67002349 ERROR 7.5 0.02 0.99 EXEC_ERROR
0 instance_test_3.json ERROR 69700846 ERROR 7.5 0.02 0.995 EXEC_ERROR
0 instance_test_3.json ERROR 45457950 ERROR 7.5 0.05 0.98 EXEC_ERROR
0 instance_test_3.json ERROR 10939614 ERROR 7.5 0.05 0.99 EXEC_ERROR
0 instance_test_3.json ERROR 84558786 ERROR 7.5 0.05 0.995 EXEC_ERROR
0 instance_test_3.json ERROR 45024830 ERROR 7.5 0.1 0.98 EXEC_ERROR
0 instance_test_3.json ERROR 21382838 ERROR 7.5 0.1 0.99 EXEC_ERROR
0 instance_test_3.json ERROR 52090651 ERROR 7.5 0.1 0.995 EXEC_ERROR
0 instance_test_3.json ERROR 15079659 ERROR 10.0 0.02 0.98 EXEC_ERROR
0 instance_test_3.json ERROR 38664142 ERROR 10.0 0.02 0.99 EXEC_ERROR
0 instance_test_3.json ERROR 18069817 ERROR 10.0 0.02 0.995 EXEC_ERROR
0 instance_test_3.json ERROR 55877747 ERROR 10.0 0.05 0.98 EXEC_ERROR
0 instance_test_3.json ERROR 12153134 ERROR 10.0 0.05 0.99 EXEC_ERROR
0 instance_test_3.json ERROR 30577764 ERROR 10.0 0.05 0.995 EXEC_ERROR
0 instance_test_3.json ERROR 5515355 ERROR 10.0 0.1 0.98 EXEC_ERROR
0 instance_test_3.json ERROR 11329227 ERROR 10.0 0.1 0.99 EXEC_ERROR
0 instance_test_3.json ERROR 10575094 ERROR 10.0 0.1 0.995 EXEC_ERROR

0 instance_test_29.json ERROR 75995748 ERROR 5.0 0.02 0.98 EXEC_ERROR
0 instance_test_29.json ERROR 8141707 ERROR 5.0 0.02 0.99 EXEC_ERROR
0 instance_test_29.json ERROR 89973496 ERROR 5.0 0.02 0.995 EXEC_ERROR
0 instance_test_29.json ERROR 18561716 ERROR 5.0 0.05 0.98 EXEC_ERROR
0 instance_test_29.json ERROR 57301398 ERROR 5.0 0.05 0.99 EXEC_ERROR
0 instance_test_29.json ERROR 64684223 ERROR 5.0 0.05 0.995 EXEC_ERROR
0 instance_test_29.json ERROR 79629658 ERROR 5.0 0.1 0.98 EXEC_ERROR
