istanza,min,mean,median,std,feasible_runs,total_runs
instance_test_1,79,85.0,84.0,4.2,5,5
instance_test_2,265,269.7,270.0,3.7,3,5
instance_test_3,1726,1737.4,1733.0,12.7,5,5
instance_test_4,218,233.0,225.0,15.9,5,5
instance_test_5,147,150.4,151.0,1.7,5,5
instance_test_6,1271,1279.4,1275.0,7.8,5,5
instance_test_7,534,2635.0,3999.0,1715.6,5,5
instance_test_8,890,890.0,890.0,0.0,5,5
instance_test_9,1085,1102.4,1104.0,10.2,5,5
instance_test_10,976,985.6,982.0,10.1,5,5
instance_test_11,51,58.2,59.0,3.7,5,5
instance_test_12,170,170.0,170.0,0.0,5,5
instance_test_13,1347,1354.6,1354.0,7.9,5,5
instance_test_14,457,457.0,457.0,0.0,5,5
instance_test_15,281,281.0,281.0,0.0,5,5
instance_test_16,1995,2000.6,1999.0,4.6,5,5
instance_test_17,729,734.2,733.0,4.1,5,5
instance_test_18,1869,1874.0,1877.0,3.7,5,5
instance_test_19,518,524.2,524.0,5.3,5,5
instance_test_20,203,203.0,203.0,0.0,5,5
instance_test_21,1517,1521.4,1522.0,2.6,5,5
instance_test_22,146,147.2,146.0,2.4,5,5
instance_test_23,768,1068.4,1015.0,189.1,5,5
instance_test_24,497,1756.8,2577.0,1026.6,5,5
instance_test_25,2124,2129.6,2130.0,4.3,5,5
instance_test_26,542,556.8,561.0,10.0,5,5
instance_test_27,478,487.8,489.0,7.1,5,5
instance_test_28,645,725.2,647.0,97.4,5,5
instance_test_29,735,739.6,741.0,4.2,5,5
instance_test_30,487,487.0,487.0,0.0,5,5
instance_test_31,124,124.0,124.0,0.0,5,5
instance_test_32,384,385.8,384.0,3.6,5,5
instance_test_33,2782,2813.6,2815.0,20.1,5,5
instance_test_34,4194,4202.4,4204.0,4.3,5,5
instance_test_35,2992,3030.0,3037.0,20.7,5,5
instance_test_36,197,197.0,197.0,0.0,5,5
instance_test_37,1291,1303.4,1302.0,10.4,5,5
instance_test_38,818,840.0,851.0,14.6,5,5
instance_test_39,820,820.0,820.0,0.0,5,5
instance_test_40,360,787.8,369.0,841.6,5,5
instance_test_41,426,1138.0,1318.0,356.0,5,5
instance_test_42,1393,1427.8,1437.0,22.0,5,5
instance_test_43,2676,2690.6,2681.0,14.4,5,5
instance_test_44,915,1139.0,949.0,253.0,5,5
instance_test_45,3756,3775.2,3766.0,20.0,5,5
instance_test_46,1174,1174.0,1174.0,0.0,5,5
instance_test_47,936,939.4,939.0,2.7,5,5
instance_test_48,336,336.0,336.0,0.0,5,5
instance_test_49,1807,1816.0,1814.0,8.1,5,5
instance_test_50,210,210.0,210.0,0.0,5,5
instance_test_51,1119,1119.0,1119.0,0.0,5,5
instance_test_52,796,817.2,816.0,17.3,5,5
instance_test_53,1165,1173.4,1176.0,4.3,5,5
instance_test_54,344,1473.4,2222.0,917.3,5,5
instance_test_55,197,204.4,202.0,6.1,5,5
instance_test_56,1462,1470.0,1472.0,4.0,5,5
instance_test_57,148,155.6,158.0,6.4,5,5
instance_test_58,3347,3357.4,3360.0,5.2,5,5
instance_test_59,94,103.6,107.0,5.5,5,5
instance_test_60,1098,1102.0,1103.0,2.0,5,5
instance_test_61,271,275.0,276.0,2.1,5,5
instance_test_62,193,212.0,210.0,15.1,5,5
instance_test_63,461,481.4,485.0,11.0,5,5
instance_test_64,262,262.0,262.0,0.0,5,5
instance_test_65,1217,1233.6,1234.0,12.8,5,5
instance_test_66,140,146.2,146.0,4.5,5,5
instance_test_67,478,492.6,497.0,9.9,5,5
instance_test_68,284,284.0,284.0,0.0,5,5
instance_test_69,319,319.0,319.0,0.0,5,5
instance_test_70,258,260.2,261.0,1.8,5,5
instance_test_71,3056,3072.8,3072.0,10.6,5,5
instance_test_72,308,327.4,324.0,19.3,5,5
instance_test_73,2794,2836.8,2834.0,38.1,5,5
instance_test_74,2680,2689.4,2690.0,5.9,5,5
instance_test_75,254,622.8,267.0,720.1,5,5
instance_test_76,1471,1502.2,1500.0,21.8,5,5
instance_test_77,3961,3972.2,3971.0,9.5,5,5
instance_test_78,336,342.0,343.0,4.3,5,5
instance_test_79,306,308.2,306.0,2.7,5,5
instance_test_80,1418,1453.6,1460.0,20.8,5,5
instance_test_81,205,211.0,213.0,4.2,5,5
instance_test_82,2572,2584.0,2585.0,8.1,5,5
instance_test_83,535,535.8,536.0,0.4,5,5
instance_test_84,496,514.2,518.0,10.3,5,5
instance_test_85,793,802.4,802.0,7.4,5,5
instance_test_86,90,90.0,90.0,0.0,5,5
instance_test_87,4951,4968.8,4970.0,13.7,5,5
instance_test_88,339,344.6,339.0,11.2,5,5
instance_test_89,177,180.8,183.0,2.7,5,5
instance_test_90,2808,2821.6,2823.0,7.4,5,5
instance_test_91,2227,2271.2,2271.0,26.4,5,5
instance_test_92,894,894.0,894.0,0.0,5,5
instance_test_93,88,371.2,441.0,141.6,5,5
instance_test_94,3965,3984.8,3974.0,22.3,5,5
instance_test_95,2758,2767.8,2762.0,13.3,5,5
instance_test_96,4351,4352.6,4353.0,0.8,5,5
instance_test_97,86,86.0,86.0,0.0,5,5
instance_test_98,71,71.0,71.0,0.0,5,5
instance_test_99,133,143.6,146.0,6.3,5,5
instance_test_100,1076,1187.6,1189.0,69.6,5,5
