istanza,min,mean,median,std,feasible_runs,total_runs
instance_test_1,72,72.6,73.0,0.5,5,5
instance_test_2,282,284.0,284.0,2.0,2,5
instance_test_3,1710,1717.2,1714.0,7.5,5,5
instance_test_4,204,224.0,209.0,21.3,5,5
instance_test_5,148,149.8,150.0,1.3,5,5
instance_test_6,1269,1279.4,1280.0,5.5,5,5
instance_test_7,534,534.0,534.0,0.0,5,5
instance_test_8,890,890.0,890.0,0.0,5,5
instance_test_9,1070,1094.2,1089.0,17.2,5,5
instance_test_10,972,975.4,976.0,2.3,5,5
instance_test_11,50,55.8,55.0,4.6,5,5
instance_test_12,170,170.0,170.0,0.0,5,5
instance_test_13,1330,1335.8,1334.0,5.0,5,5 #
instance_test_14,457,457.0,457.0,0.0,5,5
instance_test_15,281,281.0,281.0,0.0,5,5
instance_test_16,203,925.4,210.0,881.9,5,5
instance_test_17,84,470.4,723.0,311.8,5,5
instance_test_18,1866,1867.8,1868.0,1.3,5,5
instance_test_19,501,508.6,508.0,5.2,5,5
instance_test_20,203,203.0,203.0,0.0,5,5
instance_test_21,1490,1515.4,1529.0,20.9,5,5
instance_test_22,146,147.2,146.0,2.4,5,5
instance_test_23,260,561.8,761.0,244.8,5,5
instance_test_24,461,477.6,481.0,10.0,5,5
instance_test_25,2117,2121.2,2122.0,4.1,5,5 #
instance_test_26,533,543.6,543.0,6.3,5,5
instance_test_27,470,475.4,475.0,3.6,5,5
instance_test_28,442,562.4,641.0,97.9,5,5
instance_test_29,733,738.2,735.0,5.0,5,5
instance_test_30,487,487.0,487.0,0.0,5,5
instance_test_31,124,124.0,124.0,0.0,5,5
instance_test_32,384,384.0,384.0,0.0,5,5
instance_test_33,2779,2791.6,2792.0,10.6,5,5 # Solo RTS-RN lo abbatte
instance_test_34,4172,4184.0,4182.0,9.1,5,5
instance_test_35,354,1952.0,2986.0,1304.9,5,5 # STD elevata
instance_test_36,197,197.0,197.0,0.0,5,5
instance_test_37,1289,1292.2,1291.0,2.7,5,5
instance_test_38,794,809.2,810.0,11.0,5,5
instance_test_39,820,820.0,820.0,0.0,5,5
instance_test_40,364,366.0,365.0,2.6,5,5 # Solo RTS-RN la batte
instance_test_41,412,1127.2,1302.0,357.7,5,5
instance_test_42,1371,1385.2,1384.0,10.6,5,5 #
instance_test_43,2664,2669.4,2669.0,4.3,5,5
instance_test_44,876,900.0,901.0,13.8,5,5
instance_test_45,3756,3766.0,3766.0,6.3,5,5
instance_test_46,1174,1174.0,1174.0,0.0,5,5
instance_test_47,584,864.8,935.0,140.4,5,5
instance_test_48,336,336.0,336.0,0.0,5,5
instance_test_49,1800,1811.8,1812.0,7.7,5,5 # Uguale a TS RTS e RTS-RN vincono
instance_test_50,201,206.4,210.0,4.4,5,5
instance_test_51,1119,1119.0,1119.0,0.0,5,5
instance_test_52,781,796.8,799.0,10.0,5,5
instance_test_53,1164,1170.0,1172.0,3.6,5,5
instance_test_54,322,330.0,327.0,9.2,5,5
instance_test_55,188,197.6,202.0,6.4,5,5
instance_test_56,1472,1472.0,1472.0,0.0,5,5 ##
instance_test_57,142,145.8,147.0,2.4,5,5
instance_test_58,3314,3335.8,3347.0,17.1,5,5 #
instance_test_59,82,92.2,92.0,7.0,5,5
instance_test_60,1098,1100.0,1098.0,2.4,5,5
instance_test_61,265,270.0,270.0,3.0,5,5
instance_test_62,179,186.2,186.0,5.0,5,5
instance_test_63,440,453.6,457.0,8.3,5,5
instance_test_64,257,259.0,257.0,2.4,5,5
instance_test_65,1202,1212.4,1208.0,10.1,5,5
instance_test_66,139,141.8,141.0,2.0,5,5
instance_test_67,476,479.4,479.0,3.1,5,5
instance_test_68,284,284.0,284.0,0.0,5,5
instance_test_69,319,319.0,319.0,0.0,5,5
instance_test_70,252,256.0,256.0,2.4,5,5
instance_test_71,3049,3067.2,3068.0,12.9,5,5
instance_test_72,254,277.2,270.0,19.3,5,5
instance_test_73,2779,2813.6,2812.0,21.4,5,5
instance_test_74,2642,2659.0,2661.0,9.2,5,5
instance_test_75,246,249.6,248.0,4.3,5,5
instance_test_76,256,513.6,285.0,470.9,5,5
instance_test_77,1415,1939.2,1453.0,990.0,5,5
instance_test_78,323,331.0,329.0,7.5,5,5
instance_test_79,306,306.0,306.0,0.0,5,5
instance_test_80,1395,1404.2,1406.0,7.1,5,5
instance_test_81,204,207.2,207.0,2.8,5,5
instance_test_82,2532,2559.8,2557.0,17.6,5,5
instance_test_83,516,531.8,536.0,7.9,5,5
instance_test_84,496,500.4,500.0,2.9,5,5
instance_test_85,772,786.0,791.0,7.8,5,5
instance_test_86,90,90.0,90.0,0.0,5,5
instance_test_87,4911,4932.6,4938.0,16.5,5,5
instance_test_88,339,339.0,339.0,0.0,5,5
instance_test_89,177,178.2,177.0,2.4,5,5
instance_test_90,2792,2798.4,2800.0,4.3,5,5
instance_test_91,2226,2242.0,2231.0,16.8,5,5
instance_test_92,894,894.0,894.0,0.0,5,5
instance_test_93,72,77.6,79.0,4.8,5,5
instance_test_94,3965,3966.8,3965.0,3.6,5,5
instance_test_95,2735,2747.6,2746.0,12.5,5,5
instance_test_96,386,386.0,386.0,0.0,5,5
instance_test_97,86,86.0,86.0,0.0,5,5
instance_test_98,71,71.0,71.0,0.0,5,5
instance_test_99,128,134.4,132.0,6.1,5,5
instance_test_100,855,899.0,857.0,52.7,5,5
