istanza,min,mean,median,std,feasible_runs,total_runs
instance_test_1,2583,2635.4,2612.0,53.9,5,5
instance_test_2,7036,7059.2,7058.0,17.4,5,5
instance_test_3,2856,2866.2,2869.0,8.6,5,5
instance_test_4,4552,4562.8,4561.0,11.5,5,5
instance_test_5,4415,4437.8,4442.0,12.3,5,5
instance_test_6,4650,4716.8,4727.0,49.3,5,5
instance_test_7,7072,7119.2,7129.0,37.2,5,5
instance_test_8,1474,1509.4,1514.0,21.7,5,5
instance_test_9,1410,1414.8,1410.0,6.4,5,5
instance_test_10,1530,1646.8,1669.0,59.2,5,5
instance_test_11,1106,1143.4,1149.0,24.7,5,5
instance_test_12,2539,2560.6,2571.0,15.4,5,5
instance_test_13,2730,2757.0,2755.0,18.8,5,5
instance_test_14,970,972.0,970.0,2.4,5,5
instance_test_15,1286,1315.6,1323.0,17.3,5,5
instance_test_16,4363,4394.4,4401.0,17.3,5,5
instance_test_17,147,155.0,156.0,4.5,5,5
instance_test_18,1220,1221.6,1220.0,2.0,5,5
instance_test_19,4072,4141.8,4105.0,67.1,5,5
instance_test_20,2380,2383.8,2384.0,2.6,5,5
instance_test_21,907,917.0,918.0,6.8,5,5
instance_test_22,3241,3425.8,3295.0,292.5,5,5
instance_test_23,2268,2308.2,2303.0,38.6,5,5
instance_test_24,4230,4244.8,4240.0,18.2,5,5
instance_test_25,2462,2469.2,2471.0,3.6,5,5
